Income	Limit	Rating	Cards	Age	Education	Own	Student	Married	Region	Balance
15.333	1499.0	138.0	2.0	47.0	9.0	Yes	No	Yes	West	0.0
32.916	1786.0	154.0	2.0	60.0	8.0	Yes	No	Yes	West	0.0
57.1	4742.0	372.0	7.0	79.0	18.0	Yes	No	Yes	West	379.0
76.273	4779.0	367.0		65.0	14.0	Yes	No	Yes	South	133.0
10.354	3480.0	281.0		70.0	17.0	No	No	Yes		333.0
51.872		390.0		81.0	17.0	Yes	No	No	South	531.0
	5198.0	364.0	2.0	35.0		Yes		No		631.0
21.238	3089.0	254.0	3.0	59.0	10.0	Yes	No	No	South	108.0
30.682	1671.0	160.0	2.0	77.0	7.0	Yes	No	No	South	0.0
14.132	2998.0	251.0	4.0	75.0	17.0	No	No	No	South	133.0
32.164		223.0		79.0	15.0	Yes	No	Yes	East	0.0
12.0	4160.0	320.0	4.0	28.0	14.0	Yes		Yes	South	602.0
113.829	9704.0	694.0	4.0	38.0		Yes	No	Yes	West	1388.0
11.187	5099.0	380.0	4.0	69.0	16.0	Yes	No		East	889.0
27.847	5619.0	418.0	2.0	78.0	15.0	Yes	No	Yes	South	822.0
49.502	6819.0	505.0	4.0	55.0		No	No	Yes	South	1084.0
24.889	3954.0		4.0		12.0	No	No	Yes		357.0
58.781	7402.0		2.0	81.0		Yes	No	Yes	West	1103.0
										
23.989	4523.0	338.0	4.0	31.0	15.0	No		No	South	601.0
	5390.0	418.0	4.0	45.0		Yes	No		South	945.0
33.017	3180.0	224.0		28.0	16.0	No	No	Yes	East	29.0
	3293.0	251.0	1.0	68.0	16.0	No	Yes	No	South	532.0
	3254.0	253.0	1.0	30.0	15.0	Yes	No	No	West	145.0
										
15.354		171.0	2.0	65.0	14.0	No	No	No	West	0.0
27.369	3449.0	288.0	3.0	40.0	9.0	Yes	No	Yes	South	162.0
53.48	4263.0		1.0	83.0	15.0	No	No	No	South	99.0
23.672	4433.0	344.0	3.0	63.0	11.0	No	No	No	South	503.0
										
43.54	2906.0	232.0	4.0		11.0	No	No	No	South	0.0
	12066.0	828.0	4.0	41.0	12.0	Yes	No	Yes	West	1779.0
55.367	6340.0		1.0	33.0	15.0	No	No	Yes	South	815.0
11.741	2271.0	182.0	4.0	59.0	12.0	Yes	No	No	West	0.0
15.56		352.0	4.0	57.0	8.0	No	No		East	579.0
										
20.191	5767.0	431.0	4.0		16.0	No	No	Yes		1023.0
48.498	6040.0	456.0	3.0			No	No	Yes	South	812.0
30.733	2832.0	249.0	4.0	51.0	13.0	No	No	No	South	0.0
16.479	5435.0	388.0	2.0	26.0	16.0		No	No	East	937.0
38.009	3075.0		3.0	45.0	15.0	Yes	No	No	East	0.0
14.084	855.0	120.0	5.0	46.0	17.0		No	Yes		0.0
14.312		367.0	1.0		17.0	No	Yes	No	West	1380.0
26.067	3388.0	266.0	4.0	74.0	17.0	Yes	No	Yes		155.0
	2963.0	241.0	2.0		14.0	Yes	Yes	No	East	375.0
83.851	8494.0	607.0	5.0	47.0	18.0	No	No	No	South	1311.0
21.153	3736.0	256.0	1.0	41.0	11.0		No	No	South	298.0
17.976	2433.0	190.0	3.0	70.0	16.0	Yes		No	South	431.0
68.713	7582.0	531.0	2.0	56.0		No	Yes	No		1587.0
										
15.846	4768.0	365.0	4.0	53.0	12.0	Yes	No	No	South	745.0
12.031		259.0	2.0	58.0	18.0	Yes	No	Yes	South	210.0
										
39.11	3189.0	263.0	3.0	72.0	12.0	No	No	No	West	0.0
107.986	6033.0	449.0			14.0	No	No	Yes	South	227.0
										
34.537	3271.0	250.0	3.0	57.0	17.0	Yes	No	Yes	West	47.0
28.575	2959.0		2.0	60.0	11.0	Yes	No	No	East	0.0
46.007	6637.0	491.0	4.0	42.0	14.0	No	No	Yes	South	1046.0
										
	3326.0		4.0	41.0	15.0	No	No	No	South	271.0
40.442	4828.0		5.0	81.0	8.0	Yes	No	No	East	510.0
	2117.0	186.0	3.0	62.0		Yes	No	No	South	0.0
91.362	9113.0	626.0	1.0	47.0	17.0	No	No	Yes	West	1341.0
27.039	2161.0	173.0		40.0		Yes		No	South	0.0
23.012	1410.0	137.0	3.0	81.0	16.0		No	No	South	0.0
27.241	1402.0	128.0	2.0	67.0	15.0	Yes	No	Yes	West	0.0
148.08	8157.0		2.0	83.0	13.0		No			454.0
										
11.808	1300.0	117.0	3.0	77.0	14.0		No	No	East	0.0
29.564	2529.0	192.0	1.0	30.0	12.0	Yes		Yes	South	0.0
27.578	2531.0	195.0			15.0	Yes		Yes	South	0.0
26.427	5533.0		5.0	50.0	15.0	Yes	Yes	Yes	West	1404.0
										
123.299	8376.0		2.0	89.0		No	Yes	No	East	1259.0
18.145	3461.0			56.0	15.0	No		Yes	East	255.0
23.793	3821.0	281.0		56.0	12.0	Yes	Yes	Yes	East	868.0
10.726	1568.0	162.0	5.0	46.0	19.0	No	No		West	0.0
23.283	5443.0	407.0	4.0	49.0	13.0	No	No	Yes	East	912.0
21.455			4.0	80.0	12.0	Yes	No	Yes	East	1018.0
34.664	5835.0	452.0	3.0	77.0		Yes	No	Yes	East	835.0
										
54.663	4116.0	314.0	2.0	70.0	8.0	Yes	No	No	East	75.0
36.355	3613.0	278.0	4.0	35.0	9.0	No	No	Yes	West	187.0
21.374	2073.0	175.0	2.0	74.0	11.0	Yes	No	Yes	South	0.0
107.841	10384.0	728.0	3.0	87.0	7.0	No	No	No	East	1597.0
39.831	6045.0	459.0	3.0	32.0	12.0	Yes	Yes	Yes	East	1425.0
91.876	6754.0	483.0	2.0	33.0	10.0	No	No	Yes	South	605.0
103.893	7416.0		3.0	84.0	17.0	No	No	No	West	669.0
19.636	4896.0	387.0	3.0			Yes	No	No	East	710.0
17.392	2748.0	228.0	3.0		14.0	No	No	Yes	South	68.0
19.529	4673.0	341.0	2.0	51.0	14.0	No	No	No	West	642.0
										
	1501.0	150.0	3.0	56.0	16.0	No	No	Yes	South	0.0
15.184	2420.0	192.0		69.0	11.0	Yes	No	Yes	South	0.0
13.444		121.0	5.0		10.0	No	No	Yes		0.0
63.931	5728.0	435.0	3.0	28.0	14.0	Yes	No	Yes	East	581.0
										
										
92.112	4612.0	344.0	3.0	32.0	17.0	No	No	No		0.0
55.056	3155.0	235.0	2.0	31.0	16.0	No	No	Yes	East	0.0
19.537	1362.0	143.0	4.0	34.0	9.0	Yes	No	Yes	West	0.0
	4284.0	338.0	5.0	75.0	13.0	Yes	No		South	429.0
56.256	5521.0	406.0	2.0		16.0	Yes	Yes	Yes	South	1020.0
42.357	5550.0	406.0	2.0		12.0	Yes	No	Yes	West	653.0
53.319		235.0	3.0	53.0			No	No	West	0.0
12.238	4865.0	381.0	5.0	67.0		Yes	No	No	South	836.0
31.353	1705.0	160.0		81.0	14.0	No	No	Yes	South	0.0
63.809	7530.0	515.0		56.0	12.0	No	No	Yes		1086.0
13.676	2330.0		5.0	80.0	16.0	Yes	No	No	East	0.0
	5977.0	429.0	4.0	44.0	12.0	No	No	Yes	West	548.0
25.383	4527.0		4.0	46.0	11.0	No	No		South	570.0
35.691	2880.0	214.0	2.0	35.0	15.0	No	No	No	East	0.0
29.403	2327.0	178.0	1.0	37.0	14.0				South	0.0
27.47	2820.0	219.0	1.0	32.0	11.0	Yes	No	Yes	West	0.0
27.33	6179.0	459.0	4.0	36.0	12.0	Yes	No	Yes	South	1099.0
										
36.934		299.0	1.0	63.0	9.0	Yes	No	Yes		283.0
76.348	4697.0	344.0	4.0	60.0	18.0	No	No	No	West	108.0
										
121.834	10673.0	750.0	3.0	54.0		No	No	No	East	1573.0
	2168.0		3.0	52.0	17.0	No	No	No	South	0.0
24.05	2607.0	221.0			18.0	No	No	Yes	South	0.0
22.379	3965.0	292.0	2.0	34.0	14.0	Yes	No	Yes	West	384.0
28.316	4391.0	316.0	2.0	29.0	10.0	Yes	No	No	South	453.0
58.026	7499.0	560.0	5.0	67.0	11.0		No	No	South	1237.0
10.635	3584.0	294.0	5.0	69.0	16.0	No	No	Yes	West	423.0
46.102	5180.0	382.0	3.0	81.0	12.0	No	No	Yes	East	516.0
										
80.861	4090.0	335.0		29.0	15.0	Yes	No	Yes	West	0.0
158.889	11589.0		1.0	62.0	17.0	Yes	No	Yes	South	1448.0
30.42	4442.0	316.0	1.0		14.0	Yes	No	No	East	450.0
36.472	3806.0	309.0	2.0	52.0	13.0	No	No	No	East	188.0
23.365	2179.0	167.0	2.0	75.0	15.0	No	No	No		0.0
83.869	7667.0		2.0	83.0	11.0	No	No	No	East	930.0
58.351	4411.0	326.0	2.0	85.0	16.0	Yes	No	Yes	South	126.0
55.187	5352.0	385.0	4.0	50.0		Yes		Yes	South	538.0
124.29	9560.0	701.0	3.0	52.0		Yes	Yes	No		1687.0
										
130.209	10088.0	730.0	7.0	39.0	19.0	Yes	No		South	1426.0
30.406	2120.0	181.0	2.0	79.0	14.0	No	No	Yes	East	0.0
23.883	5384.0	398.0	2.0	73.0	16.0	Yes	No	Yes	East	802.0
93.039	7398.0	517.0	1.0	67.0	12.0	No	No	Yes	East	749.0
50.699	3977.0	304.0	2.0	84.0		Yes	No		East	69.0
27.349	2000.0	169.0	4.0	51.0	16.0	Yes	No	Yes	East	0.0
10.403	4159.0	310.0	3.0	43.0	7.0	No	No	Yes		571.0
	5343.0	383.0	2.0	40.0			No	Yes	East	829.0
73.914	7333.0	529.0	6.0	67.0	15.0	Yes	No	Yes	South	1048.0
21.038	1448.0	145.0	2.0	58.0	13.0		No	Yes	South	0.0
	6784.0	499.0	5.0		16.0	Yes	Yes	No	East	1411.0
										
										
23.45	2450.0	180.0	2.0	78.0	13.0	No	No	No	South	0.0
										
51.345	4327.0	320.0	3.0	46.0	15.0	No	No	No	East	230.0
151.947	9156.0	642.0	2.0	91.0	11.0	Yes	No	Yes	East	732.0
24.543	3206.0	243.0	2.0	62.0		Yes	No	Yes	South	95.0
										
39.145	4351.0	323.0	2.0	66.0	13.0		No	Yes	South	308.0
39.422	5245.0	383.0	2.0	44.0	19.0	No	No	No	East	637.0
34.909	5289.0	410.0	2.0	62.0	16.0	Yes	No	Yes	South	681.0
41.025	4229.0	337.0	3.0	79.0	19.0	Yes	No	Yes	South	246.0
15.476	2762.0	215.0	3.0	60.0	18.0	No	No	No	West	52.0
										
10.627	1647.0	149.0	2.0		10.0	Yes	Yes	Yes	West	195.0
38.954	5222.0	370.0	4.0	76.0	13.0	Yes	No	No		653.0
44.847	5765.0		3.0	53.0	13.0	Yes	Yes	No	West	1246.0
98.515		633.0	5.0	78.0	11.0	Yes	No	No	East	1230.0
33.437	6207.0			44.0	9.0	No	Yes	No	South	1549.0
27.512	4613.0	344.0			17.0		No	Yes	West	573.0
121.709	7818.0	584.0	4.0		6.0	No	No	Yes	South	701.0
15.079	5673.0	411.0		28.0	15.0	Yes	No	Yes		1075.0
										
66.989	5614.0	430.0	3.0	47.0	14.0		No	Yes	South	482.0
69.165	4668.0		2.0	34.0	11.0	Yes	No	No	East	156.0
69.943	7555.0	547.0		76.0	9.0		No	Yes	West	1058.0
										
	4776.0	378.0	4.0	29.0		No	No	Yes	South	657.0
15.741	4788.0	360.0	1.0	39.0	14.0	No	No	Yes	West	689.0
11.603	2278.0	187.0	3.0	71.0	11.0	No	No	Yes	South	0.0
										
10.503	2923.0	232.0	3.0	25.0	18.0		No	Yes	East	191.0
42.529	4986.0	369.0	2.0		11.0		No	Yes	West	489.0
										
26.532	2910.0	236.0	6.0	58.0		Yes	No	Yes	South	52.0
27.952	3557.0	263.0	1.0			Yes	No	Yes		163.0
	3351.0		5.0	71.0	14.0		No	Yes	West	148.0
15.602	906.0	103.0	2.0	36.0	11.0	No	No	Yes	East	0.0
20.918	1233.0	128.0	3.0	47.0	18.0	Yes	Yes	Yes	West	16.0
58.165	6617.0	460.0	1.0	56.0		Yes	No	Yes	South	856.0
22.561	1787.0	147.0	4.0	66.0	15.0	Yes	No	No	South	0.0
										
19.588	3211.0	265.0	4.0	59.0	14.0	Yes	No	No	West	199.0
										
15.717	905.0	93.0	1.0	38.0	16.0	No	Yes	Yes	South	0.0
22.574	1551.0	134.0	3.0	43.0	13.0	Yes	Yes	Yes	South	98.0
10.363	2430.0	191.0	2.0	47.0	18.0	Yes	No	Yes	West	0.0
28.474	3202.0	267.0	5.0	66.0	12.0	No	No		South	132.0
	8603.0	621.0	3.0	64.0		Yes	No	No	South	1355.0
85.425	5182.0	402.0	6.0	60.0	12.0	No	No	Yes	East	218.0
36.508	6386.0	469.0	4.0	79.0		Yes	No	Yes	South	1048.0
	4221.0	304.0	3.0	50.0	8.0	No	No	No	East	118.0
25.936	1774.0	135.0	2.0	71.0	14.0	Yes	No		West	0.0
15.629		186.0	1.0	60.0	14.0	No	No	Yes	West	0.0
41.4	2561.0	215.0	2.0	36.0	14.0	No	No	Yes	South	0.0
33.657	6196.0	450.0	6.0	55.0	9.0	Yes	No	No		1092.0
67.937	5184.0	383.0	4.0	63.0	12.0		No	Yes	West	345.0
180.379	9310.0	665.0	3.0	67.0	8.0	Yes	Yes	Yes	West	1050.0
10.588	4049.0	296.0	1.0	66.0	13.0		No	Yes	South	465.0
29.725	3536.0	270.0	2.0	52.0	15.0	Yes	No	No	East	133.0
										
40.885	5013.0	379.0	3.0	46.0	13.0	Yes	No		East	549.0
										
										
25.988	1349.0		4.0	82.0	12.0	No	No	No	South	0.0
39.055		410.0	4.0	48.0	18.0	Yes	No	Yes	South	772.0
15.866			1.0	39.0	13.0	No	No	No		136.0
44.978		347.0	1.0	30.0	10.0	Yes			South	436.0
30.413		299.0	2.0	25.0	15.0	Yes	Yes	No		728.0
16.751	4706.0	353.0	6.0			No	Yes	No	West	1255.0
30.55	5869.0	439.0	5.0	81.0	9.0	Yes	No	No	East	967.0
163.329	8732.0	636.0	3.0	50.0	14.0	No	No	Yes	South	529.0
										
41.532	5000.0	353.0	2.0	50.0	12.0		No	Yes	South	531.0
128.04	6982.0	518.0	2.0	78.0	11.0	Yes	No	Yes	South	250.0
54.319	3063.0	248.0	3.0	59.0	8.0	Yes	Yes	No	South	269.0
	5319.0	377.0			12.0	Yes		No	East	541.0
36.142	1852.0	183.0	3.0		13.0	Yes	No	No	East	0.0
63.534		581.0	2.0	50.0	17.0	Yes	No	Yes	South	1298.0
49.927	6396.0	485.0	3.0	75.0	17.0	Yes	No		South	890.0
14.711	2047.0	167.0	2.0	67.0	6.0	No	No		South	0.0
18.967	1626.0	156.0	2.0	41.0	11.0	Yes	No	Yes	West	0.0
										
60.449	3098.0	272.0	4.0	69.0	8.0	No	No	Yes	South	0.0
16.711	5274.0	387.0	3.0	42.0	16.0	Yes	No	Yes	West	863.0
10.852	3907.0	296.0	2.0	30.0	9.0	No	No	No		485.0
26.37	3235.0		5.0	78.0	11.0	No	No	Yes		159.0
24.088		287.0	4.0	56.0	13.0	Yes			South	309.0
51.532	5096.0	380.0	2.0	31.0	15.0	No	No		South	481.0
140.672	11200.0		7.0	46.0	9.0	No	No	Yes	East	1677.0
	2532.0		4.0	42.0	13.0	No	No	Yes	West	0.0
	1389.0	149.0	5.0	67.0	10.0	Yes	No	Yes		0.0
65.896	5140.0	370.0	1.0	49.0	17.0	Yes	No	Yes	South	293.0
55.054	4381.0		3.0	74.0	17.0	No	No	Yes	West	188.0
	2672.0	204.0	1.0	70.0	18.0	Yes	No	No		0.0
24.919	5051.0	372.0	3.0	76.0	11.0	Yes	No	Yes	East	711.0
21.786	4632.0			50.0	17.0	No	No	Yes	South	580.0
31.335	3526.0	289.0	3.0	38.0	7.0	Yes	No	No	South	172.0
59.855	4964.0	365.0	1.0	46.0	13.0	Yes	No	Yes	South	295.0
44.061	4970.0	352.0	1.0		11.0	No	No	Yes	East	414.0
82.706	7506.0	536.0	2.0	64.0		Yes	No	Yes	West	905.0
24.46	1924.0	165.0	2.0	50.0	14.0		No	Yes	West	0.0
45.12	3762.0	287.0		80.0	8.0	No	No	Yes	South	70.0
	3874.0	298.0	3.0	41.0	14.0		No	Yes	West	0.0
										
	7010.0	494.0	3.0	34.0	18.0	Yes	No	Yes	South	885.0
	4891.0	369.0	1.0		16.0	No	Yes	No		1036.0
23.375	5429.0	396.0	3.0		15.0	Yes	No	Yes	South	844.0
27.825	5227.0	386.0			11.0	No	No	Yes	South	823.0
92.386	7685.0		2.0	75.0		Yes	No	Yes	West	843.0
115.52	9272.0	656.0	2.0	69.0	14.0		No	No		1140.0
14.479	3907.0	296.0		43.0	16.0	No	No	Yes	South	463.0
52.179	7306.0		2.0	57.0	14.0	No	No		West	1142.0
		340.0	2.0	71.0	16.0	No	No	Yes	South	136.0
18.951	1485.0	129.0	3.0	82.0	13.0	Yes	No	No	South	0.0
27.59	2586.0	229.0		54.0	16.0	No	No	Yes	East	0.0
16.279	1160.0	126.0	3.0	78.0	13.0	No	Yes	Yes	East	5.0
										
27.229	3484.0	282.0	6.0	51.0	11.0	No			South	265.0
182.728	13913.0	982.0	4.0	98.0	17.0	No	No	Yes	South	1999.0
31.029		223.0	2.0	66.0	17.0	No	Yes	Yes	West	415.0
17.765	5072.0	364.0	1.0	66.0		Yes	No	Yes		732.0
	10230.0	721.0	3.0	82.0	16.0	No	No	Yes	South	1361.0
49.166	6662.0	508.0	3.0	68.0	14.0	Yes	No	No		984.0
41.192		297.0	3.0	54.0	16.0	Yes	No	Yes	South	121.0
94.193	7576.0	527.0	2.0	44.0	16.0	Yes	No	Yes	South	846.0
20.405	4543.0	329.0	2.0	72.0	17.0	No	Yes	No		1054.0
	3976.0	291.0	2.0	48.0	16.0		No	Yes	South	474.0
62.328	5228.0	377.0	3.0	83.0	15.0	No	No	No	South	380.0
21.011	3402.0	261.0	2.0	68.0	17.0	No		Yes	East	182.0
										
24.314	3409.0	270.0	2.0	23.0	7.0	Yes	No	Yes	South	194.0
32.856	5884.0	438.0	4.0	68.0	13.0		No	No	South	926.0
12.414	855.0	119.0	3.0	32.0	12.0	No	No	Yes	East	0.0
41.365	5303.0	377.0	1.0	45.0	14.0	No	No		South	606.0
149.316		707.0	1.0	80.0		No	No	No	East	1107.0
27.794	3807.0	301.0	4.0		8.0	Yes	No	Yes	East	320.0
13.234	3922.0	299.0	2.0	77.0	17.0	Yes	No	Yes	South	426.0
	2955.0	260.0	5.0	37.0	9.0	No	No	Yes		204.0
										
48.218	5199.0	401.0		39.0	10.0	No	No	Yes	West	633.0
30.012	1511.0	137.0	2.0	33.0	17.0	No	No	Yes	South	0.0
	5380.0	420.0	5.0	51.0	18.0	No	No		West	907.0
160.231	10748.0	754.0	2.0	69.0	17.0	No	No	No	South	1192.0
13.433		112.0	3.0	70.0	14.0	No	No	Yes	South	0.0
										
30.002	1561.0	155.0			13.0	Yes	No	Yes	South	0.0
61.62	5140.0	374.0	1.0	71.0	9.0	No		Yes	South	302.0
										
		342.0	2.0	47.0		No	No	No	South	425.0
12.068	3873.0	292.0		44.0		Yes	No	Yes	West	413.0
180.682	11966.0	832.0	2.0	58.0	8.0		No	Yes	East	1405.0
34.48	6090.0	442.0		36.0	14.0	No	No	No	South	962.0
		188.0	1.0	40.0	14.0	No	No	Yes	West	0.0
30.111	4336.0	339.0	1.0	81.0		No	No	Yes	South	347.0
12.335	4471.0	344.0	3.0	79.0	12.0		No	Yes	East	611.0
53.566		434.0	4.0	82.0	10.0	Yes		No		712.0
	4943.0	362.0	2.0	46.0	16.0	Yes	No		West	382.0
26.162	5101.0	382.0	3.0	62.0	19.0		No	No	East	710.0
64.173	6127.0	433.0		80.0	10.0	No		Yes	South	578.0
128.669	9824.0	685.0	3.0	67.0	16.0	No	No	Yes	West	1243.0
113.772	6442.0	489.0	4.0	69.0	15.0	No	Yes	Yes	South	790.0
61.069	7871.0	564.0	3.0	56.0	14.0	No	No	Yes		1264.0
23.793		263.0	2.0	70.0	14.0	No	No	No	East	216.0
89.0	5759.0	440.0		37.0	6.0	Yes		No	South	345.0
71.682	8028.0		3.0	57.0	16.0	No	No	Yes	South	1208.0
35.61	6135.0	466.0	4.0	40.0	12.0	No	No	No	South	992.0
										
	3782.0	293.0	2.0	46.0	16.0	Yes	Yes	No	South	840.0
55.412	5354.0	383.0	2.0	37.0	16.0	Yes	Yes	Yes	South	1003.0
29.4	4840.0	368.0	3.0	76.0	18.0	Yes	No		South	588.0
										
87.625	7167.0		2.0	46.0	10.0	Yes	No	No	East	767.0
28.144	1567.0	142.0	3.0	51.0	10.0	No	No	Yes	South	0.0
19.349	4941.0	366.0	1.0	33.0	19.0		No	Yes	South	717.0
53.308	2860.0	214.0	1.0			No	No	Yes	South	0.0
115.123	7760.0	538.0	3.0	83.0	14.0	Yes		No	East	661.0
101.788	8029.0	574.0	2.0	84.0		No	No	Yes	South	849.0
24.824	5495.0			33.0	9.0	No	Yes	No	South	1352.0
										
20.088	1870.0		3.0		16.0		No	No	East	0.0
26.4	5640.0	398.0		58.0	15.0	Yes		No		905.0
19.253	3683.0	287.0	4.0	57.0	10.0	No	No	No	East	371.0
16.529	1357.0	126.0		62.0		No	No	No	West	0.0
37.878	6827.0	482.0	2.0	80.0	13.0	Yes	No	No	South	1129.0
83.948	7100.0	503.0	2.0	44.0	18.0	No	No	No	South	806.0
135.118	10578.0	747.0	3.0	81.0		Yes	No	Yes	West	1393.0
	6555.0	472.0	2.0	43.0	15.0	Yes	No		South	721.0
25.974	2308.0	196.0	2.0	24.0	10.0	No	No	No	West	0.0
17.316	1335.0	138.0		65.0	13.0	No	No	No	East	0.0
49.794	5758.0	410.0	4.0	40.0	8.0	No		No	South	734.0
12.096	4100.0	307.0	3.0	32.0	13.0	No	No	Yes	South	560.0
13.364	3838.0	296.0	5.0	65.0	17.0	No	No	No	East	480.0
57.872	4171.0		5.0	67.0	12.0	Yes	No	Yes	South	138.0
37.728	2525.0	192.0	1.0	44.0	13.0	No	No	Yes		0.0
18.701		415.0	5.0	64.0	7.0	Yes	No		West	966.0
